deepResearchRank,full_name,owner,url,domain,language,stars,forks,technicalValue,personalRelevance,priorityScore,isUTAS,isAI,isData,isGIS,isActive,isArchived,isStudent,isProductionReady,created_at,pushed_at,techStack,chineseDescription,recommendation
1,yatian-skyler-li/GEE_LandcoverClassify,yatian-skyler-li,https://github.com/yatian-skyler-li/GEE_LandcoverClassify,AI / Machine Learning,JavaScript,1,0,83,100,84,false,true,true,true,true,false,false,true,2024-07-23T11:23:30Z,2024-07-23T17:34:36Z,JavaScript;JavaScript / Web;GIS;ML / AI;Data Engineering,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,优先深挖：高度贴合 AI/Data/IT/UTAS 或本地数据生态，适合做案例研究、作品集线索或求职素材。
2,ziogref/TAS-Fuel-HA-Intergration,ziogref,https://github.com/ziogref/TAS-Fuel-HA-Intergration,Government / Public Data,Python,7,0,74,100,81,false,false,true,false,true,false,false,true,2025-06-15T05:43:08Z,2026-04-28T02:01:57Z,Python;Data Engineering,塔斯马尼亚政府、公共服务、开放数据或地方议会信息项目。,优先深挖：高度贴合 AI/Data/IT/UTAS 或本地数据生态，适合做案例研究、作品集线索或求职素材。
3,Racheloise/climatic-benthic-chronicles,Racheloise,https://github.com/Racheloise/climatic-benthic-chronicles,AI / Machine Learning,Unknown,0,0,69,100,78,false,true,true,false,true,false,false,true,2024-10-27T21:35:37Z,2024-10-27T21:47:59Z,ML / AI,塔斯马尼亚保护优先级、保护规划或生态保护相关项目。,优先深挖：高度贴合 AI/Data/IT/UTAS 或本地数据生态，适合做案例研究、作品集线索或求职素材。
4,GetBack2Basics/TripCrafter,GetBack2Basics,https://github.com/GetBack2Basics/TripCrafter,AI / Machine Learning,JavaScript,1,0,78,90,77,false,true,false,true,true,false,false,true,2025-08-21T01:17:11Z,2025-12-14T03:53:53Z,JavaScript;JavaScript / Web;GIS;ML / AI,塔斯马尼亚旅游、住宿、行程或目的地展示项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
5,botheredbybees/huon-channel-marine-analytics,botheredbybees,https://github.com/botheredbybees/huon-channel-marine-analytics,GIS / Geography,Python,1,0,76,88,75,false,false,true,true,true,false,false,true,2025-12-19T04:33:24Z,2026-04-08T00:54:35Z,Python;PostgreSQL / PostGIS;GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
6,NicholasCluff/nullmaps,NicholasCluff,https://github.com/NicholasCluff/nullmaps,AI / Machine Learning,Svelte,0,0,67,90,73,false,true,false,true,true,false,false,true,2025-08-05T06:45:02Z,2025-08-13T04:46:51Z,Svelte;JavaScript / Web;GIS;ML / AI,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
7,Atlantis-Ecosystem-Model/South_East_Tasmania_model,Atlantis-Ecosystem-Model,https://github.com/Atlantis-Ecosystem-Model/South_East_Tasmania_model,Data Analysis,TypeScript,1,1,54,100,69,false,true,true,false,false,false,false,false,2018-10-31T22:36:01Z,2022-07-01T03:52:04Z,TypeScript;JavaScript / Web;ML / AI,东南塔斯马尼亚 Atlantis 生态系统模型项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
8,arashsm79/tasmanian-devil-gene-enrichment-analysis,arashsm79,https://github.com/arashsm79/tasmanian-devil-gene-enrichment-analysis,AI / Machine Learning,TeX,0,0,55,100,69,false,true,true,false,true,false,false,false,2024-08-06T08:50:38Z,2024-08-06T09:17:11Z,TeX;JavaScript / Web,围绕塔斯马尼亚袋獾、袋獾面部肿瘤病或相关生态建模/识别的项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
9,bicycleboy/nsw_tas_fuel_station,bicycleboy,https://github.com/bicycleboy/nsw_tas_fuel_station,Data Analysis,Python,3,1,72,76,69,false,false,true,false,true,false,false,true,2025-10-09T06:03:08Z,2026-04-20T04:09:56Z,Python,塔斯马尼亚政府、公共服务、开放数据或地方议会信息项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
10,mholling/nswtopo,mholling,https://github.com/mholling/nswtopo,GIS / Geography,Ruby,51,17,78,68,68,false,false,false,true,true,false,false,true,2011-12-10T13:02:42Z,2026-05-06T06:31:08Z,Ruby;GIS,用于制作或展示地形图的项目，数据层覆盖新南威尔士州和塔斯马尼亚。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
11,LNSOTOM/forestGISML,LNSOTOM,https://github.com/LNSOTOM/forestGISML,AI / Machine Learning,Python,4,1,57,94,68,false,true,false,true,false,false,false,false,2020-09-03T00:43:52Z,2023-04-17T04:18:09Z,Python;GIS;ML / AI,使用监督式机器学习分析塔斯马尼亚北部人工林生产力驱动因素的项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
12,jbkajtar/sst_tasmania,jbkajtar,https://github.com/jbkajtar/sst_tasmania,Marine Science,MATLAB,3,0,44,79,63,true,false,false,false,false,false,false,true,2021-10-14T03:28:45Z,2024-02-06T12:06:12Z,MATLAB,处理塔斯马尼亚周边海域海表温度观测和气候模型数据的代码。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
13,vinmasci/lutruwita_map,vinmasci,https://github.com/vinmasci/lutruwita_map,GIS / Geography,TypeScript,0,0,53,80,63,false,false,false,true,true,false,false,true,2025-01-23T21:34:42Z,2025-01-23T22:33:14Z,TypeScript;JavaScript / Web;GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
14,LamuelCH/spOccupancy_TAS,LamuelCH,https://github.com/LamuelCH/spOccupancy_TAS,GIS / Geography,Unknown,0,0,53,90,63,false,true,false,true,true,false,false,false,2025-02-18T00:40:30Z,2025-02-18T00:40:31Z,GIS;ML / AI,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
15,DPIPWE/LIST_Tools_Pro_At_3_Addin,DPIPWE,https://github.com/DPIPWE/LIST_Tools_Pro_At_3_Addin,GIS / Geography,Unknown,0,0,53,80,63,false,false,false,true,true,false,false,true,2023-06-14T08:26:16Z,2024-08-16T06:29:16Z,GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
16,vinmasci/Lutruwita_Way,vinmasci,https://github.com/vinmasci/Lutruwita_Way,GIS / Geography,Unknown,0,0,53,80,63,false,false,false,true,true,false,false,true,2025-01-06T19:01:42Z,2025-01-06T19:01:42Z,GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
17,pam-ai-coder/tasmania,pam-ai-coder,https://github.com/pam-ai-coder/tasmania,AI / Machine Learning,HTML,0,0,50,90,62,false,true,false,false,true,false,false,false,2026-03-28T04:58:44Z,2026-03-28T05:43:24Z,HTML;ML / AI,塔斯马尼亚 Overland Track 徒步路线/行程规划项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
